x-axis,F1
second,Volt
-385.2600E-06,+10.1530740E-03
-384.7600E-06,+9.7343950E-03
-384.2600E-06,+8.9755489E-03
-383.7600E-06,+8.7507052E-03
-383.2600E-06,+9.2644101E-03
-382.7600E-06,+8.8903001E-03
-382.2600E-06,+9.7920678E-03
-381.7600E-06,+9.5153716E-03
-381.2600E-06,+9.3405452E-03
-380.7600E-06,+9.4009010E-03
-380.2600E-06,+9.8066654E-03
-379.7600E-06,+9.5939737E-03
-379.2600E-06,+9.2298910E-03
-378.7600E-06,+8.9996838E-03
-378.2600E-06,+9.1577086E-03
-377.7600E-06,+9.0918059E-03
-377.2600E-06,+9.1381345E-03
-376.7600E-06,+9.1238948E-03
-376.2600E-06,+9.4663631E-03
-375.7600E-06,+9.9969510E-03
-375.2600E-06,+9.8847605E-03
-374.7600E-06,+9.0628530E-03
-374.2600E-06,+8.9679340E-03
-373.7600E-06,+9.4602180E-03
-373.2600E-06,+8.8758764E-03
-372.7600E-06,+9.7076024E-03
-372.2600E-06,+9.5544089E-03
-371.7600E-06,+9.3126120E-03
-371.2600E-06,+9.4201263E-03
-370.7600E-06,+9.8183996E-03
-370.2600E-06,+9.5427076E-03
-369.7600E-06,+9.2519406E-03
-369.2600E-06,+9.0697301E-03
-368.7600E-06,+9.1054343E-03
-368.2600E-06,+9.1263875E-03
-367.7600E-06,+9.1757771E-03
-367.2600E-06,+9.1412471E-03
-366.7600E-06,+9.6965097E-03
-366.2600E-06,+10.2995558E-03
-365.7600E-06,+10.0290599E-03
-365.2600E-06,+9.2959372E-03
-364.7600E-06,+8.8316633E-03
-364.2600E-06,+9.3066509E-03
-363.7600E-06,+8.7902072E-03
-363.2600E-06,+9.6678952E-03
-362.7600E-06,+9.5710290E-03
-362.2600E-06,+9.3677384E-03
-361.7600E-06,+9.4702943E-03
-361.2600E-06,+9.8607221E-03
-360.7600E-06,+9.5134241E-03
-360.2600E-06,+9.2878245E-03
-359.7600E-06,+9.1011174E-03
-359.2600E-06,+9.1020061E-03
-358.7600E-06,+9.1096410E-03
-358.2600E-06,+9.2542610E-03
-357.7600E-06,+9.1510803E-03
-357.2600E-06,+9.4825880E-03
-356.7600E-06,+9.9788643E-03
-356.2600E-06,+9.9242339E-03
-355.7600E-06,+9.0939104E-03
-355.2600E-06,+8.8549229E-03
-354.7600E-06,+9.4284841E-03
-354.2600E-06,+8.9341719E-03
-353.7600E-06,+9.6471549E-03
-353.2600E-06,+9.4773190E-03
-352.7600E-06,+9.3311512E-03
-352.2600E-06,+9.3979912E-03
-351.7600E-06,+9.8490545E-03
-351.2600E-06,+9.6393915E-03
-350.7600E-06,+9.2219360E-03
-350.2600E-06,+9.1257258E-03
-349.7600E-06,+9.1426069E-03
-349.2600E-06,+9.0273106E-03
-348.7600E-06,+9.2102611E-03
-348.2600E-06,+9.1907118E-03
-347.7600E-06,+9.2869672E-03
-347.2600E-06,+10.0056911E-03
-346.7600E-06,+9.8902850E-03
-346.2600E-06,+9.2858070E-03
-345.7600E-06,+9.0818911E-03
-345.2600E-06,+9.4276036E-03
-344.7600E-06,+8.8197096E-03
-344.2600E-06,+9.6545958E-03
-343.7600E-06,+9.4697061E-03
-343.2600E-06,+9.3899675E-03
-342.7600E-06,+9.4169918E-03
-342.2600E-06,+9.8756241E-03
-341.7600E-06,+9.6597472E-03
-341.2600E-06,+9.2467865E-03
-340.7600E-06,+9.1069749E-03
-340.2600E-06,+9.2175715E-03
-339.7600E-06,+9.0588921E-03
-339.2600E-06,+9.2757612E-03
-338.7600E-06,+9.2695188E-03
-338.2600E-06,+9.5909191E-03
-337.7600E-06,+10.1249307E-03
-337.2600E-06,+10.0142081E-03
-336.7600E-06,+9.1295083E-03
-336.2600E-06,+8.9783003E-03
-335.7600E-06,+9.5325859E-03
-335.2600E-06,+8.9027161E-03
-334.7600E-06,+9.8315196E-03
-334.2600E-06,+9.5502006E-03
-333.7600E-06,+9.3694395E-03
-333.2600E-06,+9.4284931E-03
-332.7600E-06,+9.8572723E-03
-332.2600E-06,+9.6224877E-03
-331.7600E-06,+9.2917531E-03
-331.2600E-06,+9.1053655E-03
-330.7600E-06,+9.1468462E-03
-330.2600E-06,+9.0585355E-03
-329.7600E-06,+9.2880848E-03
-329.2600E-06,+9.2484406E-03
-328.7600E-06,+9.1492632E-03
-328.2600E-06,+9.8082183E-03
-327.7600E-06,+9.6875836E-03
-327.2600E-06,+9.0319093E-03
-326.7600E-06,+9.0515988E-03
-326.2600E-06,+9.6083028E-03
-325.7600E-06,+8.9048397E-03
-325.2600E-06,+9.7884315E-03
-324.7600E-06,+9.4094133E-03
-324.2600E-06,+9.3288834E-03
-323.7600E-06,+9.4802633E-03
-323.2600E-06,+9.8032107E-03
-322.7600E-06,+9.5796097E-03
-322.2600E-06,+9.2703300E-03
-321.7600E-06,+9.0586066E-03
-321.2600E-06,+9.1302438E-03
-320.7600E-06,+9.0501170E-03
-320.2600E-06,+9.1942573E-03
-319.7600E-06,+9.2531921E-03
-319.2600E-06,+9.4736285E-03
-318.7600E-06,+9.9251246E-03
-318.2600E-06,+10.0154303E-03
-317.7600E-06,+9.0334587E-03
-317.2600E-06,+8.8808288E-03
-316.7600E-06,+9.5013131E-03
-316.2600E-06,+8.8002179E-03
-315.7600E-06,+9.8461377E-03
-315.2600E-06,+9.4999689E-03
-314.7600E-06,+9.2725336E-03
-314.2600E-06,+9.4325406E-03
-313.7600E-06,+9.8636205E-03
-313.2600E-06,+9.5616069E-03
-312.7600E-06,+9.3076158E-03
-312.2600E-06,+9.0794293E-03
-311.7600E-06,+9.1522146E-03
-311.2600E-06,+9.1020197E-03
-310.7600E-06,+9.2255699E-03
-310.2600E-06,+9.4089076E-03
-309.7600E-06,+9.5833282E-03
-309.2600E-06,+9.8201760E-03
-308.7600E-06,+9.8213839E-03
-308.2600E-06,+9.0084794E-03
-307.7600E-06,+8.9190236E-03
-307.2600E-06,+9.5730476E-03
-306.7600E-06,+8.9691406E-03
-306.2600E-06,+9.8379330E-03
-305.7600E-06,+9.4624491E-03
-305.2600E-06,+9.1956851E-03
-304.7600E-06,+9.3941660E-03
-304.2600E-06,+9.7789432E-03
-303.7600E-06,+9.4978375E-03
-303.2600E-06,+9.2474149E-03
-302.7600E-06,+9.0541176E-03
-302.2600E-06,+9.1041676E-03
-301.7600E-06,+9.1200460E-03
-301.2600E-06,+9.2293959E-03
-300.7600E-06,+9.1385479E-03
-300.2600E-06,+9.6050979E-03
-299.7600E-06,+9.9960270E-03
-299.2600E-06,+9.9261081E-03
-298.7600E-06,+9.1508112E-03
-298.2600E-06,+8.9259381E-03
-297.7600E-06,+9.5044214E-03
-297.2600E-06,+8.9054915E-03
-296.7600E-06,+9.7780578E-03
-296.2600E-06,+9.4641630E-03
-295.7600E-06,+9.3218639E-03
-295.2600E-06,+9.4087865E-03
-294.7600E-06,+9.8066083E-03
-294.2600E-06,+9.5746764E-03
-293.7600E-06,+9.2915682E-03
-293.2600E-06,+9.1264786E-03
-292.7600E-06,+9.1319943E-03
-292.2600E-06,+9.1568285E-03
-291.7600E-06,+9.2796895E-03
-291.2600E-06,+9.5241934E-03
-290.7600E-06,+9.9156618E-03
-290.2600E-06,+10.0653985E-03
-289.7600E-06,+10.0546480E-03
-289.2600E-06,+9.1493628E-03
-288.7600E-06,+9.0206707E-03
-288.2600E-06,+9.5105817E-03
-287.7600E-06,+9.0603621E-03
-287.2600E-06,+9.9332864E-03
-286.7600E-06,+9.5553570E-03
-286.2600E-06,+9.4376398E-03
-285.7600E-06,+9.5725312E-03
-285.2600E-06,+9.9091232E-03
-284.7600E-06,+9.6590578E-03
-284.2600E-06,+9.3494178E-03
-283.7600E-06,+9.1806677E-03
-283.2600E-06,+9.2482533E-03
-282.7600E-06,+9.1993201E-03
-282.2600E-06,+9.3475086E-03
-281.7600E-06,+9.2930027E-03
-281.2600E-06,+9.6109130E-03
-280.7600E-06,+10.1625655E-03
-280.2600E-06,+10.0761976E-03
-279.7600E-06,+9.2628884E-03
-279.2600E-06,+9.0443661E-03
-278.7600E-06,+9.5320111E-03
-278.2600E-06,+8.9966644E-03
-277.7600E-06,+9.8718224E-03
-277.2600E-06,+9.5107179E-03
-276.7600E-06,+9.3559520E-03
-276.2600E-06,+9.5655433E-03
-275.7600E-06,+9.8637991E-03
-275.2600E-06,+9.5597543E-03
-274.7600E-06,+9.3088777E-03
-274.2600E-06,+9.1408517E-03
-273.7600E-06,+9.2844372E-03
-273.2600E-06,+9.1912079E-03
-272.7600E-06,+9.2608945E-03
-272.2600E-06,+9.1438671E-03
-271.7600E-06,+9.7306444E-03
-271.2600E-06,+10.0810526E-03
-270.7600E-06,+10.1882415E-03
-270.2600E-06,+9.2565598E-03
-269.7600E-06,+8.9777860E-03
-269.2600E-06,+9.5109419E-03
-268.7600E-06,+8.8864545E-03
-268.2600E-06,+9.8277436E-03
-267.7600E-06,+9.5866785E-03
-267.2600E-06,+9.4117883E-03
-266.7600E-06,+9.5209881E-03
-266.2600E-06,+9.8245760E-03
-265.7600E-06,+9.6155061E-03
-265.2600E-06,+9.2667570E-03
-264.7600E-06,+9.0461590E-03
-264.2600E-06,+9.2213658E-03
-263.7600E-06,+9.1170789E-03
-263.2600E-06,+9.2233813E-03
-262.7600E-06,+9.1496650E-03
-262.2600E-06,+9.5801344E-03
-261.7600E-06,+10.0125526E-03
-261.2600E-06,+9.9988782E-03
-260.7600E-06,+9.1536393E-03
-260.2600E-06,+9.0209295E-03
-259.7600E-06,+9.5545345E-03
-259.2600E-06,+8.9188766E-03
-258.7600E-06,+9.7466555E-03
-258.2600E-06,+9.5118550E-03
-257.7600E-06,+9.3775541E-03
-257.2600E-06,+9.5095862E-03
-256.7600E-06,+9.8859982E-03
-256.2600E-06,+9.5147753E-03
-255.7600E-06,+9.2579363E-03
-255.2600E-06,+8.9919181E-03
-254.7600E-06,+9.1534825E-03
-254.2600E-06,+9.1730286E-03
-253.7600E-06,+9.1847148E-03
-253.2600E-06,+8.7591190E-03
-252.7600E-06,+9.3909122E-03
-252.2600E-06,+9.8221643E-03
-251.7600E-06,+10.0634949E-03
-251.2600E-06,+9.3866629E-03
-250.7600E-06,+9.0032692E-03
-250.2600E-06,+9.5745043E-03
-249.7600E-06,+8.9605711E-03
-249.2600E-06,+9.6620722E-03
-248.7600E-06,+9.5164990E-03
-248.2600E-06,+9.4677021E-03
-247.7600E-06,+9.4959157E-03
-247.2600E-06,+9.9454426E-03
-246.7600E-06,+9.5160224E-03
-246.2600E-06,+9.2059559E-03
-245.7600E-06,+9.0784931E-03
-245.2600E-06,+9.1189959E-03
-244.7600E-06,+9.0858853E-03
-244.2600E-06,+9.2853017E-03
-243.7600E-06,+9.0636560E-03
-243.2600E-06,+9.5412225E-03
-242.7600E-06,+9.9834013E-03
-242.2600E-06,+9.8832573E-03
-241.7600E-06,+9.2932288E-03
-241.2600E-06,+8.9788812E-03
-240.7600E-06,+9.5491886E-03
-240.2600E-06,+8.9981195E-03
-239.7600E-06,+9.6645181E-03
-239.2600E-06,+9.4955872E-03
-238.7600E-06,+9.4398167E-03
-238.2600E-06,+9.4442187E-03
-237.7600E-06,+10.0009309E-03
-237.2600E-06,+9.5539128E-03
-236.7600E-06,+9.1461270E-03
-236.2600E-06,+9.0944282E-03
-235.7600E-06,+9.1265815E-03
-235.2600E-06,+9.1098596E-03
-234.7600E-06,+9.2794211E-03
-234.2600E-06,+8.9706438E-03
-233.7600E-06,+9.3033293E-03
-233.2600E-06,+9.7604375E-03
-232.7600E-06,+9.6733194E-03
-232.2600E-06,+9.2356634E-03
-231.7600E-06,+9.0545408E-03
-231.2600E-06,+9.5239995E-03
-230.7600E-06,+8.9287269E-03
-230.2600E-06,+9.6318430E-03
-229.7600E-06,+9.4758863E-03
-229.2600E-06,+9.4455429E-03
-228.7600E-06,+9.4388505E-03
-228.2600E-06,+9.9794371E-03
-227.7600E-06,+9.5806639E-03
-227.2600E-06,+9.1350119E-03
-226.7600E-06,+9.0158060E-03
-226.2600E-06,+9.1593441E-03
-225.7600E-06,+9.1277127E-03
-225.2600E-06,+9.2483980E-03
-224.7600E-06,+9.1493698E-03
-224.2600E-06,+9.4687458E-03
-223.7600E-06,+10.0155827E-03
-223.2600E-06,+9.8781978E-03
-222.7600E-06,+9.2015714E-03
-222.2600E-06,+8.9844688E-03
-221.7600E-06,+9.5727930E-03
-221.2600E-06,+8.9719697E-03
-220.7600E-06,+9.7339706E-03
-220.2600E-06,+9.4814215E-03
-219.7600E-06,+9.4979699E-03
-219.2600E-06,+9.4674641E-03
-218.7600E-06,+9.9803765E-03
-218.2600E-06,+9.6054102E-03
-217.7600E-06,+9.2450594E-03
-217.2600E-06,+9.0677741E-03
-216.7600E-06,+9.1619462E-03
-216.2600E-06,+9.1240480E-03
-215.7600E-06,+9.6628831E-03
-215.2600E-06,+9.3700790E-03
-214.7600E-06,+9.3502961E-03
-214.2600E-06,+9.9791261E-03
-213.7600E-06,+9.7346275E-03
-213.2600E-06,+9.1015526E-03
-212.7600E-06,+9.0103012E-03
-212.2600E-06,+9.6000733E-03
-211.7600E-06,+9.0011221E-03
-211.2600E-06,+9.7680018E-03
-210.7600E-06,+9.5046949E-03
-210.2600E-06,+9.4334407E-03
-209.7600E-06,+9.5125095E-03
-209.2600E-06,+10.0252640E-03
-208.7600E-06,+9.6251480E-03
-208.2600E-06,+9.2788693E-03
-207.7600E-06,+9.0817797E-03
-207.2600E-06,+9.1643386E-03
-206.7600E-06,+9.1694664E-03
-206.2600E-06,+9.3144356E-03
-205.7600E-06,+9.2275065E-03
-205.2600E-06,+9.4596581E-03
-204.7600E-06,+10.0235947E-03
-204.2600E-06,+9.8373647E-03
-203.7600E-06,+9.1583207E-03
-203.2600E-06,+9.0270924E-03
-202.7600E-06,+9.4638483E-03
-202.2600E-06,+8.9772064E-03
-201.7600E-06,+9.7703083E-03
-201.2600E-06,+9.5008183E-03
-200.7600E-06,+9.4179731E-03
-200.2600E-06,+9.4699867E-03
-199.7600E-06,+9.9545311E-03
-199.2600E-06,+9.5523193E-03
-198.7600E-06,+9.2705729E-03
-198.2600E-06,+9.0834468E-03
-197.7600E-06,+9.1231082E-03
-197.2600E-06,+9.1763125E-03
-196.7600E-06,+9.4238161E-03
-196.2600E-06,+9.4342564E-03
-195.7600E-06,+9.5902415E-03
-195.2600E-06,+10.2175880E-03
-194.7600E-06,+9.8585026E-03
-194.2600E-06,+9.0650809E-03
-193.7600E-06,+8.9029667E-03
-193.2600E-06,+9.4853348E-03
-192.7600E-06,+8.9961508E-03
-192.2600E-06,+9.7324671E-03
-191.7600E-06,+9.5334174E-03
-191.2600E-06,+9.4058992E-03
-190.7600E-06,+9.3972468E-03
-190.2600E-06,+9.9909579E-03
-189.7600E-06,+9.5964566E-03
-189.2600E-06,+9.2416840E-03
-188.7600E-06,+9.1235306E-03
-188.2600E-06,+9.0866699E-03
-187.7600E-06,+9.2343456E-03
-187.2600E-06,+9.3320735E-03
-186.7600E-06,+9.1238682E-03
-186.2600E-06,+9.5480129E-03
-185.7600E-06,+10.0667202E-03
-185.2600E-06,+9.8229713E-03
-184.7600E-06,+9.1942271E-03
-184.2600E-06,+9.0044842E-03
-183.7600E-06,+9.5264413E-03
-183.2600E-06,+9.0659295E-03
-182.7600E-06,+9.7211960E-03
-182.2600E-06,+9.5892184E-03
-181.7600E-06,+9.5312333E-03
-181.2600E-06,+9.5055767E-03
-180.7600E-06,+10.0608099E-03
-180.2600E-06,+9.6422179E-03
-179.7600E-06,+9.2176428E-03
-179.2600E-06,+9.1565862E-03
-178.7600E-06,+9.1308919E-03
-178.2600E-06,+9.1314194E-03
-177.7600E-06,+9.1102678E-03
-177.2600E-06,+9.1044451E-03
-176.7600E-06,+9.4525025E-03
-176.2600E-06,+10.2984628E-03
-175.7600E-06,+9.9901501E-03
-175.2600E-06,+9.1457594E-03
-174.7600E-06,+9.0155027E-03
-174.2600E-06,+9.4001349E-03
-173.7600E-06,+8.9831030E-03
-173.2600E-06,+9.7271041E-03
-172.7600E-06,+9.4966018E-03
-172.2600E-06,+9.4074764E-03
-171.7600E-06,+9.4496028E-03
-171.2600E-06,+9.8922299E-03
-170.7600E-06,+9.5682674E-03
-170.2600E-06,+9.1567874E-03
-169.7600E-06,+9.0752497E-03
-169.2600E-06,+9.1099342E-03
-168.7600E-06,+9.0358484E-03
-168.2600E-06,+9.2682557E-03
-167.7600E-06,+9.0725533E-03
-167.2600E-06,+9.3987823E-03
-166.7600E-06,+9.9827978E-03
-166.2600E-06,+9.7832724E-03
-165.7600E-06,+9.0854723E-03
-165.2600E-06,+8.9885281E-03
-164.7600E-06,+9.3829206E-03
-164.2600E-06,+8.9126648E-03
-163.7600E-06,+9.6466978E-03
-163.2600E-06,+9.4198215E-03
-162.7600E-06,+9.4016677E-03
-162.2600E-06,+9.4299548E-03
-161.7600E-06,+9.8754640E-03
-161.2600E-06,+9.5730628E-03
-160.7600E-06,+9.1456343E-03
-160.2600E-06,+8.9959576E-03
-159.7600E-06,+9.1345140E-03
-159.2600E-06,+9.0447677E-03
-158.7600E-06,+8.9800431E-03
-158.2600E-06,+8.9283044E-03
-157.7600E-06,+9.2144773E-03
-157.2600E-06,+9.8982141E-03
-156.7600E-06,+9.9577265E-03
-156.2600E-06,+9.1704662E-03
-155.7600E-06,+9.0232965E-03
-155.2600E-06,+9.4077504E-03
-154.7600E-06,+8.8489332E-03
-154.2600E-06,+9.6422941E-03
-153.7600E-06,+9.4656348E-03
-153.2600E-06,+9.4063479E-03
-152.7600E-06,+9.4237806E-03
-152.2600E-06,+9.8182877E-03
