x-axis,F1
second,Volt
-385.2600E-06,+9.3677246E-03
-384.7600E-06,+9.2027599E-03
-384.2600E-06,+9.7890368E-03
-383.7600E-06,+9.6925600E-03
-383.2600E-06,+9.4967971E-03
-382.7600E-06,+9.8839437E-03
-382.2600E-06,+9.9081993E-03
-381.7600E-06,+9.3800841E-03
-381.2600E-06,+9.3163635E-03
-380.7600E-06,+9.3457049E-03
-380.2600E-06,+9.2086985E-03
-379.7600E-06,+9.4539599E-03
-379.2600E-06,+9.3816155E-03
-378.7600E-06,+9.1229918E-03
-378.2600E-06,+9.4781831E-03
-377.7600E-06,+9.9911837E-03
-377.2600E-06,+10.2229010E-03
-376.7600E-06,+9.1608403E-03
-376.2600E-06,+9.0634349E-03
-375.7600E-06,+9.2642008E-03
-375.2600E-06,+9.0995849E-03
-374.7600E-06,+9.7292440E-03
-374.2600E-06,+9.6213602E-03
-373.7600E-06,+9.4873880E-03
-373.2600E-06,+9.8117625E-03
-372.7600E-06,+9.8769703E-03
-372.2600E-06,+9.2565168E-03
-371.7600E-06,+9.2489841E-03
-371.2600E-06,+9.2951882E-03
-370.7600E-06,+9.1160814E-03
-370.2600E-06,+9.3535360E-03
-369.7600E-06,+9.3781218E-03
-369.2600E-06,+9.0573519E-03
-368.7600E-06,+9.4159921E-03
-368.2600E-06,+9.8547448E-03
-367.7600E-06,+10.2247910E-03
-367.2600E-06,+9.1995321E-03
-366.7600E-06,+8.9588367E-03
-366.2600E-06,+9.3614152E-03
-365.7600E-06,+9.1264056E-03
-365.2600E-06,+9.7305476E-03
-364.7600E-06,+9.6388417E-03
-364.2600E-06,+9.3655007E-03
-363.7600E-06,+9.8594787E-03
-363.2600E-06,+9.9229882E-03
-362.7600E-06,+9.2484486E-03
-362.2600E-06,+9.2746959E-03
-361.7600E-06,+9.3751063E-03
-361.2600E-06,+9.1175489E-03
-360.7600E-06,+9.3627670E-03
-360.2600E-06,+9.2676814E-03
-359.7600E-06,+9.0602113E-03
-359.2600E-06,+9.4858898E-03
-358.7600E-06,+9.8227752E-03
-358.2600E-06,+10.1272807E-03
-357.7600E-06,+9.2213272E-03
-357.2600E-06,+9.1247153E-03
-356.7600E-06,+9.2965638E-03
-356.2600E-06,+9.0740415E-03
-355.7600E-06,+9.7155899E-03
-355.2600E-06,+9.5266081E-03
-354.7600E-06,+9.4733242E-03
-354.2600E-06,+9.7546344E-03
-353.7600E-06,+9.9956176E-03
-353.2600E-06,+9.3372001E-03
-352.7600E-06,+9.2133667E-03
-352.2600E-06,+9.2823485E-03
-351.7600E-06,+9.0758466E-03
-351.2600E-06,+9.3021398E-03
-350.7600E-06,+9.3078709E-03
-350.2600E-06,+8.9186289E-03
-349.7600E-06,+9.5098834E-03
-349.2600E-06,+9.8619503E-03
-348.7600E-06,+10.0381974E-03
-348.2600E-06,+9.1956218E-03
-347.7600E-06,+9.0068614E-03
-347.2600E-06,+9.2514073E-03
-346.7600E-06,+9.0944672E-03
-346.2600E-06,+9.6775893E-03
-345.7600E-06,+9.6072948E-03
-345.2600E-06,+9.3748132E-03
-344.7600E-06,+9.7440830E-03
-344.2600E-06,+9.8438270E-03
-343.7600E-06,+9.3698297E-03
-343.2600E-06,+9.2047117E-03
-342.7600E-06,+9.2478067E-03
-342.2600E-06,+9.0858940E-03
-341.7600E-06,+9.3901485E-03
-341.2600E-06,+9.3057047E-03
-340.7600E-06,+9.0796089E-03
-340.2600E-06,+9.4386176E-03
-339.7600E-06,+9.8655530E-03
-339.2600E-06,+10.0924144E-03
-338.7600E-06,+9.1776595E-03
-338.2600E-06,+9.1392680E-03
-337.7600E-06,+9.3732983E-03
-337.2600E-06,+8.9350205E-03
-336.7600E-06,+9.7819976E-03
-336.2600E-06,+9.3807258E-03
-335.7600E-06,+9.3069715E-03
-335.2600E-06,+9.7343653E-03
-334.7600E-06,+9.7164637E-03
-334.2600E-06,+9.2757414E-03
-333.7600E-06,+9.2142825E-03
-333.2600E-06,+9.2179916E-03
-332.7600E-06,+9.0335772E-03
-332.2600E-06,+9.2569642E-03
-331.7600E-06,+9.3198975E-03
-331.2600E-06,+9.1118201E-03
-330.7600E-06,+9.4045176E-03
-330.2600E-06,+9.8491481E-03
-329.7600E-06,+10.1436516E-03
-329.2600E-06,+9.1556554E-03
-328.7600E-06,+8.9625171E-03
-328.2600E-06,+9.1987113E-03
-327.7600E-06,+9.0502789E-03
-327.2600E-06,+9.5693823E-03
-326.7600E-06,+9.4501208E-03
-326.2600E-06,+9.3124733E-03
-325.7600E-06,+9.6536938E-03
-325.2600E-06,+9.7105115E-03
-324.7600E-06,+9.3606777E-03
-324.2600E-06,+9.0822497E-03
-323.7600E-06,+9.1981609E-03
-323.2600E-06,+9.0751333E-03
-322.7600E-06,+9.1864532E-03
-322.2600E-06,+9.2751172E-03
-321.7600E-06,+9.2063994E-03
-321.2600E-06,+9.4184668E-03
-320.7600E-06,+9.8159715E-03
-320.2600E-06,+10.0981788E-03
-319.7600E-06,+9.1173095E-03
-319.2600E-06,+8.9303110E-03
-318.7600E-06,+9.4032124E-03
-318.2600E-06,+8.8089815E-03
-317.7600E-06,+9.7889412E-03
-317.2600E-06,+9.6178604E-03
-316.7600E-06,+9.2000585E-03
-316.2600E-06,+9.7575230E-03
-315.7600E-06,+9.8047788E-03
-315.2600E-06,+9.3279439E-03
-314.7600E-06,+9.1252417E-03
-314.2600E-06,+9.2330545E-03
-313.7600E-06,+9.1424310E-03
-313.2600E-06,+9.2579469E-03
-312.7600E-06,+9.2594384E-03
-312.2600E-06,+9.1641034E-03
-311.7600E-06,+9.4712791E-03
-311.2600E-06,+9.8267167E-03
-310.7600E-06,+10.1363875E-03
-310.2600E-06,+9.1257586E-03
-309.7600E-06,+8.9290714E-03
-309.2600E-06,+9.3216551E-03
-308.7600E-06,+9.0143696E-03
-308.2600E-06,+9.5414220E-03
-307.7600E-06,+9.5524996E-03
-307.2600E-06,+9.2307351E-03
-306.7600E-06,+9.4733719E-03
-306.2600E-06,+9.7349123E-03
-305.7600E-06,+9.3657060E-03
-305.2600E-06,+9.1506682E-03
-304.7600E-06,+9.2535323E-03
-304.2600E-06,+9.0851481E-03
-303.7600E-06,+9.3591418E-03
-303.2600E-06,+9.3678396E-03
-302.7600E-06,+9.2569160E-03
