x-axis,F1
second,Volt
-385.2600E-06,+9.8891410E-03
-384.7600E-06,+9.6289833E-03
-384.2600E-06,+9.3290726E-03
-383.7600E-06,+9.0008543E-03
-383.2600E-06,+9.3250343E-03
-382.7600E-06,+9.0406235E-03
-382.2600E-06,+9.4070854E-03
-381.7600E-06,+9.3752012E-03
-381.2600E-06,+9.4789310E-03
-380.7600E-06,+9.3731687E-03
-380.2600E-06,+9.7940665E-03
-379.7600E-06,+9.9477951E-03
-379.2600E-06,+9.1855037E-03
-378.7600E-06,+8.9296357E-03
-378.2600E-06,+8.8530968E-03
-377.7600E-06,+8.8118282E-03
-377.2600E-06,+9.1979741E-03
-376.7600E-06,+9.3384700E-03
-376.2600E-06,+9.3613581E-03
-375.7600E-06,+10.0194872E-03
-375.2600E-06,+9.5728217E-03
-374.7600E-06,+9.3091595E-03
-374.2600E-06,+9.0134464E-03
-373.7600E-06,+9.2831729E-03
-373.2600E-06,+8.9374154E-03
-372.7600E-06,+9.4258931E-03
-372.2600E-06,+9.3114890E-03
-371.7600E-06,+9.4028985E-03
-371.2600E-06,+9.4011899E-03
-370.7600E-06,+9.8241763E-03
-370.2600E-06,+9.9260750E-03
-369.7600E-06,+9.0795946E-03
-369.2600E-06,+8.9512127E-03
-368.7600E-06,+9.2386408E-03
-368.2600E-06,+9.1144131E-03
-367.7600E-06,+9.3619005E-03
-367.2600E-06,+9.3264817E-03
-366.7600E-06,+9.3625973E-03
-366.2600E-06,+9.9162933E-03
-365.7600E-06,+9.5631709E-03
-365.2600E-06,+9.2388201E-03
-364.7600E-06,+9.0169578E-03
-364.2600E-06,+9.2837526E-03
-363.7600E-06,+8.9300221E-03
-363.2600E-06,+9.4109003E-03
-362.7600E-06,+9.3978593E-03
-362.2600E-06,+9.4156791E-03
-361.7600E-06,+9.3953383E-03
-361.2600E-06,+9.7616416E-03
-360.7600E-06,+9.9758359E-03
-360.2600E-06,+9.3518036E-03
-359.7600E-06,+9.1869300E-03
-359.2600E-06,+9.1394457E-03
-358.7600E-06,+9.1271204E-03
-358.2600E-06,+9.2162428E-03
-357.7600E-06,+9.1938154E-03
-357.2600E-06,+9.2431235E-03
-356.7600E-06,+10.0279228E-03
-356.2600E-06,+9.6879940E-03
-355.7600E-06,+9.2185945E-03
-355.2600E-06,+9.0475594E-03
-354.7600E-06,+9.4078247E-03
-354.2600E-06,+8.9138564E-03
-353.7600E-06,+9.4386203E-03
-353.2600E-06,+9.3490353E-03
-352.7600E-06,+9.4021626E-03
-352.2600E-06,+9.4003878E-03
-351.7600E-06,+9.7455367E-03
-351.2600E-06,+9.9653863E-03
-350.7600E-06,+9.1595676E-03
-350.2600E-06,+8.9668167E-03
-349.7600E-06,+9.2165974E-03
-349.2600E-06,+9.0189366E-03
-348.7600E-06,+9.4102988E-03
-348.2600E-06,+9.3512971E-03
-347.7600E-06,+9.2456174E-03
-347.2600E-06,+9.9150910E-03
-346.7600E-06,+9.7498084E-03
-346.2600E-06,+9.2497977E-03
-345.7600E-06,+8.9791926E-03
-345.2600E-06,+9.3292939E-03
-344.7600E-06,+8.9999102E-03
-344.2600E-06,+9.4433985E-03
-343.7600E-06,+9.5158847E-03
-343.2600E-06,+9.4312710E-03
-342.7600E-06,+9.4512910E-03
-342.2600E-06,+9.8584850E-03
-341.7600E-06,+9.9376406E-03
-341.2600E-06,+9.2495089E-03
-340.7600E-06,+9.2257190E-03
-340.2600E-06,+9.2467047E-03
-339.7600E-06,+9.3061890E-03
-339.2600E-06,+9.4703174E-03
-338.7600E-06,+9.3530542E-03
-338.2600E-06,+9.2941264E-03
-337.7600E-06,+9.9476292E-03
-337.2600E-06,+9.7476048E-03
-336.7600E-06,+9.3533299E-03
-336.2600E-06,+9.0187580E-03
-335.7600E-06,+9.3592603E-03
-335.2600E-06,+8.9969667E-03
-334.7600E-06,+9.4985574E-03
-334.2600E-06,+9.5372538E-03
-333.7600E-06,+9.4173437E-03
-333.2600E-06,+9.3994533E-03
-332.7600E-06,+9.8981675E-03
-332.2600E-06,+10.0093928E-03
-331.7600E-06,+9.1321628E-03
-331.2600E-06,+9.0753172E-03
-330.7600E-06,+9.3097103E-03
-330.2600E-06,+9.1106133E-03
-329.7600E-06,+9.4473729E-03
-329.2600E-06,+9.3740022E-03
-328.7600E-06,+9.3837680E-03
-328.2600E-06,+10.0605085E-03
-327.7600E-06,+9.7202575E-03
-327.2600E-06,+9.3021544E-03
-326.7600E-06,+9.0761020E-03
-326.2600E-06,+9.3402583E-03
-325.7600E-06,+9.0033356E-03
-325.2600E-06,+9.3994034E-03
-324.7600E-06,+9.5044805E-03
-324.2600E-06,+9.4089175E-03
-323.7600E-06,+9.2955356E-03
-323.2600E-06,+9.8482375E-03
-322.7600E-06,+10.1261754E-03
-322.2600E-06,+8.9208643E-03
-321.7600E-06,+8.9729829E-03
-321.2600E-06,+9.1945820E-03
-320.7600E-06,+9.1849801E-03
-320.2600E-06,+9.6401052E-03
-319.7600E-06,+9.4042488E-03
-319.2600E-06,+9.1993622E-03
-318.7600E-06,+10.0281653E-03
-318.2600E-06,+9.6788970E-03
-317.7600E-06,+9.2681068E-03
-317.2600E-06,+9.0286792E-03
-316.7600E-06,+9.2666317E-03
-316.2600E-06,+8.9558028E-03
-315.7600E-06,+9.4977719E-03
-315.2600E-06,+9.4900635E-03
-314.7600E-06,+9.4341048E-03
-314.2600E-06,+9.3427995E-03
-313.7600E-06,+9.8077887E-03
-313.2600E-06,+10.0198041E-03
-312.7600E-06,+9.1792421E-03
-312.2600E-06,+9.0191835E-03
-311.7600E-06,+9.2974989E-03
-311.2600E-06,+9.0598487E-03
-310.7600E-06,+9.5373817E-03
-310.2600E-06,+9.4764293E-03
-309.7600E-06,+9.2340147E-03
-309.2600E-06,+10.0510887E-03
-308.7600E-06,+9.8301728E-03
-308.2600E-06,+9.2018029E-03
-307.7600E-06,+9.0471957E-03
