x-axis,1,2
second,Volt,Volt
-418.00E-06,-1.24663E-03,-62.35553E-03
-417.00E-06,-4.83054E-03,-48.48618E-03
-416.00E-06,+159.41E-06,-64.16461E-03
-415.00E-06,-1.57577E-03,-51.50122E-03
-414.00E-06,-3.11195E-03,-58.53643E-03
-413.00E-06,-186.82E-06,-62.75744E-03
-412.00E-06,-1.29890E-03,-58.13447E-03
-411.00E-06,-3.39285E-03,-63.56155E-03
-410.00E-06,-2.40240E-03,-50.49616E-03
-409.00E-06,-2.82251E-03,-54.71703E-03
-408.00E-06,-3.07526E-03,-48.48618E-03
-407.00E-06,-2.66974E-03,-52.90820E-03
-406.00E-06,-3.33758E-03,-53.31040E-03
-405.00E-06,-3.25919E-03,-61.55172E-03
-404.00E-06,-2.68783E-03,-60.34536E-03
-403.00E-06,-2.59235E-03,-58.33567E-03
-402.00E-06,-3.09034E-03,-55.32009E-03
-401.00E-06,-3.28180E-03,-54.31546E-03
-400.00E-06,-3.32200E-03,-63.56126E-03
-399.00E-06,-3.06572E-03,-62.75769E-03
-398.00E-06,-2.57778E-03,-41.85317E-03
-397.00E-06,-3.76732E-03,-51.09941E-03
-396.00E-06,-5.31491E-03,-49.89286E-03
-395.00E-06,-897.39E-06,-56.52601E-03
-394.00E-06,-3.03962E-03,-58.33523E-03
-393.00E-06,-4.08078E-03,-58.53643E-03
-392.00E-06,-1.95817E-03,-56.32496E-03
-391.00E-06,-3.51447E-03,-57.93298E-03
-390.00E-06,-3.67374E-03,-54.51588E-03
-389.00E-06,-1.63355E-03,-54.71756E-03
-388.00E-06,-2.45769E-03,-58.13418E-03
-387.00E-06,-2.45064E-03,-53.51130E-03
-386.00E-06,-1.76069E-03,-49.69195E-03
-385.00E-06,-1.90491E-03,-57.53088E-03
-384.00E-06,-1.07023E-03,-42.85857E-03
-383.00E-06,-1.13508E-03,-52.10399E-03
-382.00E-06,-1.65970E-03,-62.35496E-03
-381.00E-06,-1.39184E-03,-43.86248E-03
-380.00E-06,-955.16E-06,-54.51603E-03
-379.00E-06,-627.03E-06,-50.69600E-03
-378.00E-06,-1.10441E-03,-50.89855E-03
-377.00E-06,-427.37E-06,-55.11966E-03
-376.00E-06,-3.71906E-03,-55.12000E-03
-375.00E-06,-1.46260E-03,-63.56189E-03
-374.00E-06,+1.17595E-03,-57.73275E-03
-373.00E-06,-2.18186E-03,-51.90362E-03
-372.00E-06,-2.20334E-03,-65.97325E-03
-371.00E-06,-298.39E-06,-55.32072E-03
-370.00E-06,-1.70645E-03,-53.51130E-03
