x-axis,F1
second,Volt
-64.60000E-03,
-64.56400E-03,+117.86E-06
-64.52800E-03,+149.78E-06
-64.49200E-03,+65.03E-06
-64.45600E-03,+135.10E-06
-64.42000E-03,+150.45E-06
-64.38400E-03,+169.36E-06
-64.34800E-03,+190.30E-06
-64.31200E-03,+201.11E-06
-64.27600E-03,+201.11E-06
-64.24000E-03,+177.31E-06
-64.20400E-03,+121.76E-06
-64.16800E-03,+251.16E-06
-64.13200E-03,+150.45E-06
-64.09600E-03,+145.78E-06
-64.06000E-03,+150.45E-06
-64.02400E-03,+239.82E-06
-63.98800E-03,+170.04E-06
-63.95200E-03,+201.11E-06
-63.91600E-03,+236.48E-06
-63.88000E-03,+170.55E-06
-63.84400E-03,+202.45E-06
-63.80800E-03,+241.82E-06
-63.77200E-03,+266.51E-06
-63.73600E-03,+225.80E-06
-63.70000E-03,+234.48E-06
-63.66400E-03,+259.83E-06
-63.62800E-03,+251.16E-06
-63.59200E-03,+251.16E-06
-63.55600E-03,+231.81E-06
-63.52000E-03,+201.11E-06
-63.48400E-03,+213.56E-06
-63.44800E-03,+121.89E-06
-63.41200E-03,+248.49E-06
-63.37600E-03,+201.11E-06
-63.34000E-03,+251.16E-06
-63.30400E-03,+179.50E-06
-63.26800E-03,+201.11E-06
-63.23200E-03,+188.28E-06
-63.19600E-03,+251.16E-06
-63.16000E-03,+201.11E-06
-63.12400E-03,+161.93E-06
-63.08800E-03,+231.81E-06
-63.05200E-03,+201.11E-06
-63.01600E-03,+215.79E-06
-62.98000E-03,+244.49E-06
-62.94400E-03,+252.49E-06
-62.90800E-03,+251.16E-06
-62.87200E-03,+251.16E-06
-62.83600E-03,+276.52E-06
-62.80000E-03,+267.84E-06
-62.76400E-03,+242.48E-06
-62.72800E-03,+201.78E-06
-62.69200E-03,+243.82E-06
-62.65600E-03,+216.46E-06
-62.62000E-03,+254.50E-06
-62.58400E-03,+282.52E-06
-62.54800E-03,+182.61E-06
-62.51200E-03,+203.78E-06
-62.47600E-03,+251.16E-06
-62.44000E-03,+201.11E-06
-62.40400E-03,+251.16E-06
-62.36800E-03,+251.16E-06
-62.33200E-03,+301.21E-06
-62.29600E-03,+291.87E-06
-62.26000E-03,+254.50E-06
-62.22400E-03,+251.16E-06
-62.18800E-03,+251.16E-06
-62.15200E-03,+278.52E-06
-62.11600E-03,+316.07E-06
-62.08000E-03,+307.96E-06
-62.04400E-03,+253.85E-06
-62.00800E-03,+301.21E-06
-61.97200E-03,+351.87E-06
-61.93600E-03,+326.20E-06
-61.90000E-03,+318.09E-06
-61.86400E-03,+318.66E-06
-61.82800E-03,+451.97E-06
-61.79200E-03,+451.97E-06
-61.75600E-03,+316.74E-06
-61.72000E-03,+324.85E-06
-61.68400E-03,+269.84E-06
-61.64800E-03,+341.06E-06
-61.61200E-03,+303.91E-06
-61.57600E-03,+295.87E-06
-61.54000E-03,+351.87E-06
-61.50400E-03,+322.82E-06
-61.46800E-03,+322.15E-06
-61.43200E-03,+339.03E-06
-61.39600E-03,+351.87E-06
-61.36000E-03,+257.87E-06
-61.32400E-03,+340.38E-06
-61.28800E-03,+301.21E-06
-61.25200E-03,+346.86E-06
-61.21600E-03,+337.01E-06
-61.18000E-03,+345.11E-06
-61.14400E-03,+399.23E-06
-61.10800E-03,+351.87E-06
-61.07200E-03,+351.87E-06
-61.03600E-03,+401.92E-06
-61.00000E-03,+368.55E-06
-60.96400E-03,+393.24E-06
-60.92800E-03,+401.92E-06
-60.89200E-03,+387.15E-06
-60.85600E-03,+401.92E-06
-60.82000E-03,+351.87E-06
-60.78400E-03,+401.92E-06
-60.74800E-03,+362.54E-06
-60.71200E-03,+349.17E-06
-60.67600E-03,+306.61E-06
-60.64000E-03,+388.57E-06
-60.60400E-03,+373.22E-06
-60.56800E-03,+372.55E-06
-60.53200E-03,+389.24E-06
-60.49600E-03,+361.21E-06
-60.46000E-03,+304.59E-06
-60.42400E-03,+363.21E-06
-60.38800E-03,+382.56E-06
-60.35200E-03,+474.93E-06
-60.31600E-03,+416.60E-06
-60.28000E-03,+401.92E-06
-60.24400E-03,+354.54E-06
-60.20800E-03,+442.62E-06
-60.17200E-03,+401.92E-06
-60.13600E-03,+451.97E-06
-60.10000E-03,+468.85E-06
-60.06400E-03,+451.97E-06
-60.02800E-03,+451.97E-06
-59.99200E-03,+409.26E-06
-59.95600E-03,+417.26E-06
-59.92000E-03,+401.92E-06
-59.88400E-03,+439.51E-06
-59.84800E-03,+451.97E-06
-59.81200E-03,+404.59E-06
-59.77600E-03,+451.97E-06
-59.74000E-03,+415.26E-06
-59.70400E-03,+451.97E-06
-59.66800E-03,+422.60E-06
-59.63200E-03,+390.06E-06
-59.59600E-03,+497.90E-06
-59.56000E-03,+455.34E-06
-59.52400E-03,+451.97E-06
-59.48800E-03,+421.27E-06
-59.45200E-03,+324.17E-06
-59.41600E-03,+387.24E-06
-59.38000E-03,+388.49E-06
-59.34400E-03,+353.20E-06
-59.30800E-03,+392.57E-06
-59.27200E-03,+318.77E-06
-59.23600E-03,+376.56E-06
-59.20000E-03,+385.23E-06
-59.16400E-03,+443.29E-06
-59.12800E-03,+301.21E-06
-59.09200E-03,+394.58E-06
-59.05600E-03,+351.87E-06
-59.02000E-03,+301.21E-06
-58.98400E-03,+351.87E-06
-58.94800E-03,+322.69E-06
-58.91200E-03,+399.25E-06
-58.87600E-03,+357.21E-06
-58.84000E-03,+351.87E-06
-58.80400E-03,+322.82E-06
-58.76800E-03,+381.23E-06
-58.73200E-03,+301.21E-06
-58.69600E-03,+305.94E-06
-58.66000E-03,+254.50E-06
-58.62400E-03,+273.99E-06
-58.58800E-03,+312.93E-06
-58.55200E-03,+328.90E-06
-58.51600E-03,+280.70E-06
-58.48000E-03,+388.49E-06
-58.44400E-03,+498.60E-06
-58.40800E-03,+260.50E-06
-58.37200E-03,+351.87E-06
-58.33600E-03,+351.87E-06
-58.30000E-03,+334.98E-06
-58.26400E-03,+351.87E-06
