x-axis,1,2
second,Volt,Volt
-36.0000E-06,,
-35.4800E-06,+46.4991193E-03,-112.1230368E-03
-34.9600E-06,+44.5619333E-03,-11.6205234E-03
-34.4400E-06,+42.9187173E-03,+38.6307333E-03
-33.9200E-06,+44.1021344E-03,-61.8717801E-03
-33.4000E-06,+44.0267575E-03,+63.7563616E-03
-32.8800E-06,+43.3257525E-03,-61.8717801E-03
-32.3600E-06,+45.6624358E-03,+239.6357600E-03
-31.8400E-06,+46.9136921E-03,+63.7563616E-03
-31.3200E-06,+47.0493705E-03,-137.2486651E-03
-30.8000E-06,+45.3458529E-03,-11.6205234E-03
-30.2800E-06,+46.6724861E-03,+63.7563616E-03
-29.7600E-06,+45.1724861E-03,+63.7563616E-03
-29.2400E-06,+43.5820339E-03,-137.2486651E-03
-28.7200E-06,+45.3609283E-03,+63.7563616E-03
-28.2000E-06,+45.6775112E-03,+63.7563616E-03
-27.6800E-06,+45.5945967E-03,-11.6205234E-03
-27.1600E-06,+46.5368077E-03,+38.6307333E-03
-26.6400E-06,+45.7227374E-03,-262.8768068E-03
-26.1200E-06,+44.9463555E-03,-112.1230368E-03
-25.6000E-06,+46.3332901E-03,+63.7563616E-03
-25.0800E-06,+45.7453504E-03,+63.7563616E-03
-24.5600E-06,+45.2704761E-03,-61.8717801E-03
-24.0400E-06,+45.5644459E-03,-137.2486651E-03
-23.5200E-06,+45.2026369E-03,-86.9974084E-03
-23.0000E-06,+44.6599233E-03,-112.1230368E-03
-22.4800E-06,+45.4513806E-03,-11.6205234E-03
-21.9600E-06,+45.8056519E-03,+239.6357600E-03
-21.4400E-06,+44.9765062E-03,-137.2486651E-03
-20.9200E-06,+44.4865565E-03,-137.2486651E-03
-20.4000E-06,+44.5619333E-03,-11.6205234E-03
-19.8800E-06,+46.2805263E-03,-137.2486651E-03
-19.3600E-06,+44.3433404E-03,-11.6205234E-03
-18.8400E-06,+45.3081645E-03,+63.7563616E-03
-18.3200E-06,+45.2478630E-03,-11.6205234E-03
-17.8000E-06,+46.6197223E-03,+63.7563616E-03
-17.2800E-06,+45.4212298E-03,-61.8717801E-03
-16.7600E-06,+44.7805263E-03,-137.2486651E-03
-16.2400E-06,+44.8106771E-03,-137.2486651E-03
-15.7200E-06,+44.1096720E-03,+38.6307333E-03
-15.2000E-06,+44.2302751E-03,+63.7563616E-03
-14.6800E-06,+43.9061545E-03,+38.6307333E-03
-14.1600E-06,+45.4287675E-03,-61.8717801E-03
-13.6400E-06,+45.3307776E-03,+38.6307333E-03
